gateway_id,mac_addr,reader_ip,location_id,reader_status,up_status,down_status,assigned,serial,created_at,updated_at,deleted_at
69,AC233FC09C49,NULL,25,NULL,"2021-04-16 03:04:39","0000-00-00 00:00:00",1,L2-RT-10,"2021-04-15 09:31:58","2021-04-16 03:04:39",NULL
70,AC233FC09C4A,NULL,26,NULL,"2021-04-16 03:05:11","0000-00-00 00:00:00",1,L2-RM-51,"2021-04-15 09:31:58","2021-04-16 03:05:11",NULL
71,AC233FC09C4B,NULL,26,NULL,"2021-04-16 03:05:26","0000-00-00 00:00:00",1,L2-RM-52,"2021-04-15 09:31:58","2021-04-16 03:05:26",NULL
72,AC233FC09C4C,NULL,26,NULL,"2021-04-16 03:05:39","0000-00-00 00:00:00",1,L2-RM-53,"2021-04-15 09:31:58","2021-04-16 03:05:39",NULL
73,AC233FC09C4D,NULL,26,NULL,"2021-04-16 03:05:50","0000-00-00 00:00:00",1,L2-RM-54,"2021-04-15 09:31:58","2021-04-16 03:05:50",NULL
74,AC233FC09C4E,NULL,27,NULL,"2021-04-16 03:06:08","0000-00-00 00:00:00",1,L2-RT-11,"2021-04-15 09:31:58","2021-04-16 03:06:08",NULL
75,AC233FC09C4F,NULL,27,NULL,"2021-04-16 03:06:20","0000-00-00 00:00:00",1,L2-RT-12,"2021-04-15 09:31:58","2021-04-16 03:06:20",NULL
76,AC233FC09C50,NULL,28,NULL,"2021-04-16 03:06:38","0000-00-00 00:00:00",1,L2-RM-61,"2021-04-15 09:31:58","2021-04-16 03:06:38",NULL
77,AC233FC09C51,NULL,28,NULL,"2021-04-16 03:06:58","0000-00-00 00:00:00",1,L2-RM-62,"2021-04-15 09:31:58","2021-04-16 03:06:58",NULL
78,AC233FC09C52,NULL,28,NULL,"2021-04-16 03:07:18","0000-00-00 00:00:00",1,L2-RM-63,"2021-04-15 09:31:58","2021-04-16 03:07:18",NULL
79,AC233FC09C53,NULL,28,NULL,"2021-04-16 03:07:31","0000-00-00 00:00:00",1,L2-RM-64,"2021-04-15 09:31:58","2021-04-16 03:07:31",NULL
80,AC233FC09C54,NULL,29,NULL,"2021-04-16 03:07:56","0000-00-00 00:00:00",1,L2-CA-21,"2021-04-15 09:31:58","2021-04-16 03:07:56",NULL
81,AC233FC09C55,NULL,30,NULL,"2021-04-16 03:11:46","0000-00-00 00:00:00",1,L2-CA-22,"2021-04-15 09:31:58","2021-04-16 03:11:46",NULL
82,AC233FC09C56,NULL,42,NULL,"2021-04-16 03:15:03","0000-00-00 00:00:00",1,L2-CR-16,"2021-04-15 09:31:58","2021-04-16 03:15:03",NULL
