log_id,log_time,gateway_id,beacon_id,rssi,battery_level,x_value,y_value,z_value,rawData
1716,"2021-04-01 14:19:58",4,5,-64,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1717,"2021-04-01 14:20:08",2,5,-63,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1718,"2021-04-01 14:20:08",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1719,"2021-04-01 14:20:21",1,3,-70,100,0.0585938,0,0.957031,0201060303E1FF1216E1FFA10364000F000000F53DC3A83F23AC
1720,"2021-04-01 14:20:25",2,3,-51,100,0.0585938,0,0.949219,0201060303E1FF1216E1FFA10364000F000000F33DC3A83F23AC
1721,"2021-04-01 14:20:28",2,5,-64,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1722,"2021-04-01 14:20:40",4,5,-62,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1723,"2021-04-01 14:20:54",2,5,-64,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1724,"2021-04-01 14:20:58",4,1,-69,100,0.0390625,-0.0078125,0.96875,0201060303E1FF1216E1FFA10364000AFFFE00F83BC3A83F23AC
1725,"2021-04-01 14:21:00",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1726,"2021-04-01 14:21:06",1,1,-54,100,0.0390625,-0.0078125,0.96875,0201060303E1FF1216E1FFA10364000AFFFE00F83BC3A83F23AC
1727,"2021-04-01 14:21:06",2,5,-64,100,0.0585938,-0.0195312,1,0201060303E1FF1216E1FFA10364000FFFFB010037C3A83F23AC
1728,"2021-04-01 14:21:28",4,5,-64,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1729,"2021-04-01 14:21:54",4,1,-69,100,0.046875,0,0.96875,0201060303E1FF1216E1FFA10364000C000000F83BC3A83F23AC
1730,"2021-04-01 14:22:02",1,1,-63,100,0.046875,0,0.96875,0201060303E1FF1216E1FFA10364000C000000F83BC3A83F23AC
1731,"2021-04-01 14:22:16",2,5,-63,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1732,"2021-04-01 14:22:22",4,5,-62,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1733,"2021-04-01 14:22:36",2,5,-64,100,0.046875,-0.0273438,1.00781,0201060303E1FF1216E1FFA10364000CFFF9010237C3A83F23AC
1734,"2021-04-01 14:22:42",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1735,"2021-04-01 14:22:48",2,5,-64,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1736,"2021-04-01 14:23:06",1,3,-70,100,0.0585938,0,0.957031,0201060303E1FF1216E1FFA10364000F000000F53DC3A83F23AC
1737,"2021-04-01 14:23:06",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1738,"2021-04-01 14:23:12",2,3,-52,100,0.0585938,0,0.957031,0201060303E1FF1216E1FFA10364000F000000F53DC3A83F23AC
1739,"2021-04-01 14:23:16",2,5,-67,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1740,"2021-04-01 14:23:26",4,5,-62,100,0.046875,-0.0273438,1.00781,0201060303E1FF1216E1FFA10364000CFFF9010237C3A83F23AC
1741,"2021-04-01 14:23:32",2,5,-63,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1742,"2021-04-01 14:23:51",4,4,-73,100,0.0664062,0.0078125,0.9375,0201060303E1FF1216E1FFA103640011000200F030C3A83F23AC
1743,"2021-04-01 14:23:53",4,1,-69,100,0.046875,-0.0078125,0.96875,0201060303E1FF1216E1FFA10364000CFFFE00F83BC3A83F23AC
1744,"2021-04-01 14:23:57",2,4,-55,100,0.0664062,0.0078125,0.949219,0201060303E1FF1216E1FFA103640011000200F330C3A83F23AC
1745,"2021-04-01 14:24:01",1,1,-57,100,0.046875,0,0.96875,0201060303E1FF1216E1FFA10364000C000000F83BC3A83F23AC
1746,"2021-04-01 14:24:04",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1747,"2021-04-01 14:24:13",2,5,-64,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
